jobTitle,department,earnings,year,serviceArea,hourlyWage,status
lcc professional stage hand,cultural services,959.4,2016,community and operation services,NA,part time
lifeguard,recreation,957.94,2016,community and operation services,NA,part time
aqua-fitness instructor,recreation,955,2016,community and operation services,NA,part time
lifeguard,recreation,950.91,2016,community and operation services,NA,part time
lcc professional stage hand,cultural services,949,2016,community and operation services,NA,part time
lifeguard,recreation,948.57,2016,community and operation services,NA,part time
lifeguard,recreation,944.16,2016,community and operation services,NA,part time
arts / crafts instr - sr ctr,recreation,940.5,2016,community and operation services,NA,part time
arts / crafts instr - sr ctr,recreation,940.5,2016,community and operation services,NA,part time
lifeguard,recreation,933.81,2016,community and operation services,NA,part time
swim instructor,recreation,932.5,2016,community and operation services,NA,part time
lcc stage hand,cultural services,930,2016,community and operation services,NA,part time
adult sports field/gym supv,recreation,928,2016,community and operation services,NA,part time
lifeguard,recreation,926.25,2016,community and operation services,NA,part time
aqua-fitness instructor,recreation,920,2016,community and operation services,NA,part time
adult sports scorekeeper,ut standards engineering div,918.26,2016,planning development & transportation,NA,part time
prsnl trainer/weight rm,city clerk's office,916.51,2016,deputy city manager,NA,part time
fitness instructor,recreation,916.4,2016,community and operation services,NA,part time
outdoor recreation instructor,recreation,912.5,2016,community and operation services,NA,part time
fitness instructor,recreation,906,2016,community and operation services,NA,part time
youth sports track&field coach,recreation,905,2016,community and operation services,NA,part time
financial analyst,office of the chief,903.99,2016,police services,NA,part time
alternative program leader,recreation,902.78,2016,community and operation services,NA,part time
lcc stage hand,cultural services,901.8,2016,community and operation services,NA,part time
lifeguard/water safety instr.,recreation,900.3,2016,community and operation services,NA,part time
lifeguard,recreation,897.14,2016,community and operation services,NA,part time
general interest instructor,recreation,892,2016,community and operation services,NA,part time
lcc professional stage hand,cultural services,891.8,2016,community and operation services,NA,part time
clerical aide,recreation,887.22,2016,community and operation services,NA,part time
youth sports track&field coach,recreation,880,2016,community and operation services,NA,part time
youth sports track&field coach,recreation,880,2016,community and operation services,NA,part time
lifeguard,recreation,876.32,2016,community and operation services,NA,part time
lcc professional stage hand,cultural services,875,2016,community and operation services,NA,part time
fitness instructor - sr ctr,recreation,874,2016,community and operation services,NA,part time
facility attendant,recreation,866.97,2016,community and operation services,NA,part time
clerical aide,cultural services,863.1,2016,community and operation services,NA,part time
swim instructor,recreation,855.5,2016,community and operation services,NA,part time
lcc professional stage hand,cultural services,855.4,2016,community and operation services,NA,part time
