jobTitle,department,earnings,year,serviceArea,hourlyWage,status
plans analyst,comm dev & neighborhood svcs,74520.15,2016,planning development & transportation,35.83,full time
police officer,patrol,74386.95,2016,police services,35.76,full time
superintendent of golf,parks,74238,2016,community and operation services,35.69,full time
superintendent of golf,parks,73947,2016,community and operation services,35.55,full time
recreation supv - inactive,recreation,73940.74,2016,community and operation services,35.55,full time
sr city planner / zoning,comm dev & neighborhood svcs,73909.5,2016,planning development & transportation,35.53,full time
crew chief,parks,73770.89,2016,community and operation services,35.47,full time
electric lineworker,electric field services,73660.1,2016,utility services,35.41,full time
shop foreman,operation services,73447.53,2016,community and operation services,35.31,full time
parts supervisor,operation services,73436.37,2016,community and operation services,35.31,full time
fleet maint superintendent,operation services,73421.25,2016,community and operation services,35.3,full time
human resources partner,human resources,73372,2016,information and employee services,35.27,full time
sr sales tax auditor,sales tax,73366.1,2016,financial services,35.27,full time
crew chief,parks,73328.75,2016,community and operation services,35.25,full time
instrument/electric tech,ut water production div,73258.14,2016,utility services,35.22,full time
police officer,patrol,73079.57,2016,police services,35.13,full time
mgr grdns on sprng crk-inactiv,cultural services,72982.48,2016,community and operation services,35.09,full time
electric lineworker,electric field services,72960.6,2016,utility services,35.08,full time
police officer,patrol,72854.83,2016,police services,35.03,full time
rec finance/business analyst,recreation,72841.42,2016,community and operation services,35.02,full time
electric lineworker,electric field services,72785.13,2016,utility services,34.99,full time
civil engineer,ut water systems engr div,72701.68,2016,utility services,34.95,full time
civil engineer i,streets,72659.94,2016,planning development & transportation,34.93,full time
plant operator,ut water production div,72636.31,2016,utility services,34.92,full time
facilities maint superintendnt,operation services,72598.06,2016,community and operation services,34.9,full time
building inspector,comm dev & neighborhood svcs,72563.76,2016,planning development & transportation,34.89,full time
master electrician,operation services,72557.15,2016,community and operation services,34.88,full time
civil engineer ii,engineering,72495.17,2016,planning development & transportation,34.85,full time
superintendent of golf,parks,72491,2016,community and operation services,34.85,full time
plant operator,ut water production div,72486.27,2016,utility services,34.85,full time
city planner,comm dev & neighborhood svcs,72409.18,2016,planning development & transportation,34.81,full time
electric meter tech,ut standards engineering div,72403.5,2016,planning development & transportation,34.81,full time
recreation supv - inactive,recreation,72255.58,2016,community and operation services,34.74,full time
special projects mgr-inactive,ut water systems engr div,72161.27,2016,utility services,34.69,full time
electric meter tech,ut standards engineering div,72123.07,2016,planning development & transportation,34.67,full time
line groundworker,electric field services,72061.2,2016,utility services,34.64,full time
water svcs safety & trng supv,safety and security,71762.25,2016,financial services,34.5,full time
community service officer,patrol,71726,2016,police services,34.48,full time
electric lineworker,electric field services,71429.73,2016,utility services,34.34,full time
community service officer,patrol,71192.38,2016,police services,34.23,full time
payroll/accts payable supv,accounting and treasury,71109.3,2016,financial services,34.19,full time
visual arts administrator,cultural services,71052.95,2016,community and operation services,34.16,full time
systems specialist,information technology,70907.43,2016,information and employee services,34.09,full time
shop foreman,operation services,70761.69,2016,community and operation services,34.02,full time
apprentice landscape architect,park planning & development,70700.03,2016,community and operation services,33.99,full time
mechanic,operation services,70551.31,2016,community and operation services,33.92,full time
sr budget analyst,budget,70544.6,2016,financial services,33.92,full time
police officer,patrol,70417.16,2016,police services,33.85,full time
special events coordinator,pdt administration,70413.56,2016,planning development & transportation,33.85,full time
sr electrical engineer,ut standards engineering div,70369.51,2016,planning development & transportation,33.83,full time
therapeutic recreation spec,recreation,70311.44,2016,community and operation services,33.8,full time
construction inspector,streets,70029.85,2016,planning development & transportation,33.67,full time
sr environmental planner,environmental services,70023.74,2016,sustainability services,33.67,full time
